доброта;die Freundlichkeit  
возможность;die Möglichkeit  
согласие;die Zustimmung  
забота;die Sorge  
надеяться;hoffen  
выбор;die Wahl  
заблуждение;der Irrtum  
разнообразие;die Vielfalt  
поддержка;die Unterstützung  
достижение;der Erfolg  
уверенность;das Selbstvertrauen  
отношение;die Beziehung  
расположение;die Lage  
внимание;die Aufmerksamkeit  
решение;die Entscheidung  
ответственность;die Verantwortung  
совершенствование;die Verbesserung  
долгосрочный;langfristig  
развитие;die Entwicklung  
способность;die Fähigkeit  
продвижение;die Förderung  
