изощренный;ausgeklügelt  
непримиримый;unversöhnlich  
компетентность;Kompetenz  
осложнять;komplizieren  
неоднозначный;ambivalent  
восприятие;Wahrnehmung  
обоснованный;begründet  
парадигма;Paradigma  
эквивалентный;äquivalent  
практичность;Praktikabilität  
доступность;Zugänglichkeit  
ущербный;schädlich  
защита;Schutz  
оптимизация;Optimierung  
взаимосвязь;Wechselbeziehung  
интерпретация;Interpretation  
приоритетный;prioritär  
глобализация;Globalisierung  
стратегия;Strategie  
конструировать;konstruieren
