sich melden bei;to get back to
hoffen;to hope
auf der ganzen Welt;worldwide
Plattform;platform
auf der ganzen Welt;around the world
organisieren;to organise
Projekt;project
international;international
Besuch;visit
Austausch;visit
Kurs;course
Betriebswirtschaftslehre;business course
Vertriebsgesellschaft;marketing company
Ganztags;full-time
Pause;break
Mittagspause;lunch break
Leichtathletik;athletics
mit jdm rumhängen;to hang out with
Lkw;truck
Staat;state
eines Tages;one day
bieten;to offer
dauern;to last
über;over
jeder;everyone
ob;whether
Friseur;hairdresser
Leistungspunkte;credit
genug;enough
sogar;even
zwischen;between
brauchen;to need
Einzelheiten;details
Fach;subject
Gebiet;area
Kunst;art
Gestaltung;design
Kraftfahrzeugmechanik;automotive mechanics
Verwaltung;administration
Betriebswirtschaftslehre;business administration
Informationstechnologie;information technology
Baugewerbe;construction
Gesundheit;health
Schönheit;beauty
Medien;media
Einzelhandel;retail services
eine Ausbildung machen;to train
vor allem;particularly
verlassen;to leave
kennenlernen;to get to know
Hochschule;college
Gemeindeschule;community college
Nachricht;message
fernsehen;to watch TV
